scene16/0.wav	open the game box
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./127_Playing Monopoly/831.mp3	Unfold the game board.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./127_Playing Monopoly/832.mp3	Grab the deck from the game box.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./127_Playing Monopoly/833.mp3	Split the deck into chance, community chest, and property cards.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./127_Playing Monopoly/834.mp3	Shuffle the chance and community chest decks separately.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./127_Playing Monopoly/835.mp3	Place the chance and community chest decks on their designated spaces on the board.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./127_Playing Monopoly/836.mp3	Grasp the player piece and place it on the GO space.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./127_Playing Monopoly/837.mp3	Grab one pile of dollars from the game box.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./127_Playing Monopoly/838.mp3	Distribute one of each dollar type to yourself.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./127_Playing Monopoly/839.mp3	Place the game piece at the starting point.
delete
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./127_Playing Monopoly/840.mp3	Fetch the dice from the box.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./127_Playing Monopoly/841.mp3	Shake the dice in your hand.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./127_Playing Monopoly/842.mp3	Roll the dice.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./127_Playing Monopoly/843.mp3	Move your game piece according to the dice roll.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./127_Playing Monopoly/844.mp3	Pay $100 to the bank.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./127_Playing Monopoly/845.mp3	Take a light-blue property card.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./127_Playing Monopoly/846.mp3	Pretending to pass the dice to the next player.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./127_Playing Monopoly/847.mp3	Grab the dice.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./127_Playing Monopoly/848.mp3	Shake the dice in your hand.
delete
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./127_Playing Monopoly/849.mp3	Roll the dice.
delete
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./127_Playing Monopoly/850.mp3	Move your game piece according to the dice roll.
delete
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./127_Playing Monopoly/851.mp3	Draw a chance card.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./127_Playing Monopoly/852.mp3	Display the card to other players.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./127_Playing Monopoly/853.mp3	Withdraw $50 from the bank.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./127_Playing Monopoly/854.mp3	Pay $50 to the bank.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./127_Playing Monopoly/855.mp3	Place a house and hotel on two properties.
scene16/1.wav	I don't know where you think you should
scene16/2.wav	place the house on Hotel on the property card
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./127_Playing Monopoly/856.mp3	Count your money.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./127_Playing Monopoly/857.mp3	Remove your player piece from the board.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./127_Playing Monopoly/858.mp3	Combine the chance, community chest, and property card decks.
scene16/3.wav	who the card back to the box go
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./127_Playing Monopoly/859.mp3	Return your money to the bank.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./127_Playing Monopoly/860.mp3	Place the dice back in the box.
scene16/4.wav	return the data house in the hotel back to the gaming box
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./128_Playing Cards/861.mp3	Flip the game board for playing other props.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./128_Playing Cards/862.mp3	Grab the deck of cards from the game box.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./128_Playing Cards/863.mp3	Hold the deck with one hand.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./128_Playing Cards/864.mp3	Split the deck into two halves, with one half in each hand.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./128_Playing Cards/865.mp3	Grip the deck on the short sides with your thumb and middle finger.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./128_Playing Cards/866.mp3	Do the bridge shuffle, allowing the cards to arc and fall into place.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./128_Playing Cards/867.mp3	Shuffle in another interesting way.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./128_Playing Cards/868.mp3	Straighten the cards in one hand so that they are even.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./128_Playing Cards/869.mp3	Perform a two-hand cut, taking the upper half of the deck and placing it face-down underneath the bottom half.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./128_Playing Cards/870.mp3	Fan out the cards facing yourself to create a broad display that is easy to view.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./128_Playing Cards/871.mp3	Choose and grab a card from the fan.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./128_Playing Cards/872.mp3	Compose the cards back into a single deck, keeping the chosen card separate.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./128_Playing Cards/873.mp3	Place the card on top of the deck.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./128_Playing Cards/874.mp3	Deal three piles of three cards.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./128_Playing Cards/875.mp3	Place the deck on the table.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./128_Playing Cards/876.mp3	Swap the locations of two piles.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./128_Playing Cards/877.mp3	Alter back the location of two piles.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./128_Playing Cards/878.mp3	Slide one pile directly in front of you.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./128_Playing Cards/879.mp3	Pick up and look at one card from that pile before returning it.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./128_Playing Cards/880.mp3	Lift a portion of the main deck slightly off the table.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./128_Playing Cards/881.mp3	Flip the portion of the cards so that they are face-up.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./128_Playing Cards/882.mp3	Fan the face-up cards.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./128_Playing Cards/883.mp3	Sort the cards by taking two cards from the right side of the fan and placing it on the left side.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./128_Playing Cards/884.mp3	Draw a card from the main deck to add to your hand.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./128_Playing Cards/885.mp3	Play a card by placing it face-up next to the main deck.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./128_Playing Cards/886.mp3	Reassemble the cards into a single deck.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./128_Playing Cards/887.mp3	Stack one three-card pile on top of another.
delete
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./128_Playing Cards/888.mp3	Flip over the face-up deck.
delete
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./128_Playing Cards/889.mp3	Scramble the cards on the table while keeping them face-down.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./128_Playing Cards/890.mp3	Put the cards back in the game box.
delete
scene16/5.wav	put a card back into the game box
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./129_Playing Coins and Knucklebones/891.mp3	Grip a fake coin out of the game box.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./129_Playing Coins and Knucklebones/892.mp3	Spin the coin.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./129_Playing Coins and Knucklebones/893.mp3	Toss the coin into the air and let it fall.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./129_Playing Coins and Knucklebones/894.mp3	Toss the coin into the air and catch it.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./129_Playing Coins and Knucklebones/895.mp3	Flip a coin using your right thumb, catch it in the palm of your right hand, flip your right hand onto the back of your left hand, and remove your right hand to reveal the coin on the back of your left hand.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./129_Playing Coins and Knucklebones/896.mp3	Play a round of knucklebones with three coins.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./130_Finishing Up/897.mp3	Collect the coins and put them in the game box.
audio/04_Entertaining/17_Playing monopoly, cards, coins and knucklebones./130_Finishing Up/898.mp3	Fold up the game board.
scene16/6.wav	put the game board back to the game box go
