audio/0002_Office Working/0011_Filming gestures with GoPro/0088_Unpacking the GoPro/0612.mp3	Unzip the GoPro case.
audio/0002_Office Working/0011_Filming gestures with GoPro/0088_Unpacking the GoPro/0613.mp3	Remove the GoPro out of the case.
audio/0002_Office Working/0011_Filming gestures with GoPro/0088_Unpacking the GoPro/0614.mp3	Pull down the notch of the GoPro side lid to change the battery.
audio/0002_Office Working/0011_Filming gestures with GoPro/0088_Unpacking the GoPro/0615.mp3	Take the GoPro battery out of the case.
audio/0002_Office Working/0011_Filming gestures with GoPro/0088_Unpacking the GoPro/0616.mp3	Insert the battery into the battery slot.
audio/0002_Office Working/0011_Filming gestures with GoPro/0088_Unpacking the GoPro/0617.mp3	Close the battery lid.
audio/0002_Office Working/0011_Filming gestures with GoPro/0088_Unpacking the GoPro/0618.mp3	Press and hold the power button to turn on the GoPro.
audio/0002_Office Working/0011_Filming gestures with GoPro/0089_Capturing Initial Shot/0619.mp3	Aim the GoPro at the tree marker while looking at the screen.
audio/0002_Office Working/0011_Filming gestures with GoPro/0089_Capturing Initial Shot/0620.mp3	Capture the tree marker by pressing the capture button.
audio/0002_Office Working/0011_Filming gestures with GoPro/0090_Setting Up the Selfie Stick/0621.mp3	Take out the selfie stick from the GoPro case.
audio/0002_Office Working/0011_Filming gestures with GoPro/0090_Setting Up the Selfie Stick/0622.mp3	Pull out the GoPro connector from the bottom of the GoPro.
audio/0002_Office Working/0011_Filming gestures with GoPro/0090_Setting Up the Selfie Stick/0623.mp3	Insert the GoPro connector into the selfie stick.
audio/0002_Office Working/0011_Filming gestures with GoPro/0090_Setting Up the Selfie Stick/0624.mp3	Position the screw to connect the connector to the selfie stick.
audio/0002_Office Working/0011_Filming gestures with GoPro/0090_Setting Up the Selfie Stick/0625.mp3	Tighten the screw with your fingers.
audio/0002_Office Working/0011_Filming gestures with GoPro/0090_Setting Up the Selfie Stick/0626.mp3	Loosen the selfie stick to prepare for extending it.
audio/0002_Office Working/0011_Filming gestures with GoPro/0090_Setting Up the Selfie Stick/0627.mp3	Extend the selfie stick to its longest mode.
audio/0002_Office Working/0011_Filming gestures with GoPro/0090_Setting Up the Selfie Stick/0628.mp3	Tighten the selfie stick.
audio/0002_Office Working/0011_Filming gestures with GoPro/0090_Setting Up the Selfie Stick/0629.mp3	Rotate the selfie stick and GoPro to ensure the lens is facing yourself.
audio/0002_Office Working/0011_Filming gestures with GoPro/0090_Setting Up the Selfie Stick/0630.mp3	Loosen the selfie stick to prepare for shortening it.
audio/0002_Office Working/0011_Filming gestures with GoPro/0090_Setting Up the Selfie Stick/0631.mp3	Shorten the selfie stick.
audio/0002_Office Working/0011_Filming gestures with GoPro/0090_Setting Up the Selfie Stick/0632.mp3	Tighten the selfie stick.
audio/0002_Office Working/0011_Filming gestures with GoPro/0090_Setting Up the Selfie Stick/0633.mp3	Unscrew the screw from the selfie stick.
audio/0002_Office Working/0011_Filming gestures with GoPro/0090_Setting Up the Selfie Stick/0634.mp3	Detach the GoPro from the selfie stick.
audio/0002_Office Working/0011_Filming gestures with GoPro/0090_Setting Up the Selfie Stick/0635.mp3	Put the selfie stick back in the GoPro case.
audio/0002_Office Working/0011_Filming gestures with GoPro/0091_Setting Up the Tripod/0636.mp3	Take out the tripod from the GoPro case.
