audio/02_Office Working/08_Receiving and Sending a File./58_Receiving a File/369.mp3	Grip the string of the button envelope.
audio/02_Office Working/08_Receiving and Sending a File./58_Receiving a File/370.mp3	Unroll the string to open the button envelope.
audio/02_Office Working/08_Receiving and Sending a File./58_Receiving a File/371.mp3	Remove the files from the file folder by grasping them with your fingers and lifting them out.
audio/02_Office Working/08_Receiving and Sending a File./58_Receiving a File/372.mp3	Invert the file folder over a flat surface.
audio/02_Office Working/08_Receiving and Sending a File./58_Receiving a File/373.mp3	Shake the file folder to ensure all contents have fallen out.
audio/02_Office Working/08_Receiving and Sending a File./58_Receiving a File/374.mp3	Set aside the file folder.
audio/02_Office Working/08_Receiving and Sending a File./58_Receiving a File/375.mp3	Reorder all the contents into a pile, making sure the letter envelope is on top and the clasp envelope is on bottom
audio/02_Office Working/08_Receiving and Sending a File./59_Opening the Envelope/376.mp3	Slit the top edge of the envelope with a letter opener, ensuring not to damage the contents inside.
audio/02_Office Working/08_Receiving and Sending a File./59_Opening the Envelope/377.mp3	Extract the bound letter carefully to avoid tearing any pages.
audio/02_Office Working/08_Receiving and Sending a File./59_Opening the Envelope/378.mp3	Unfold the letter by reversing the folds with gentle hand movements.
audio/02_Office Working/08_Receiving and Sending a File./59_Opening the Envelope/379.mp3	Press down on the unfolded letter with both hands to flatten and remove any creases.
audio/02_Office Working/08_Receiving and Sending a File./59_Opening the Envelope/380.mp3	Lay the unfolded letter on a flat surface for reading.
audio/02_Office Working/08_Receiving and Sending a File./59_Opening the Envelope/381.mp3	Adjust the angles to straighten the paper for easy reading.
audio/02_Office Working/08_Receiving and Sending a File./60_Reading and Unbinding the Letter/382.mp3	Read the letter by moving your eyes while your hands hold the edges to keep the paper steady.
audio/02_Office Working/08_Receiving and Sending a File./60_Reading and Unbinding the Letter/383.mp3	Remove out the staple bind with the stapler remover.
audio/02_Office Working/08_Receiving and Sending a File./60_Reading and Unbinding the Letter/384.mp3	Grasp the pen.
audio/02_Office Working/08_Receiving and Sending a File./60_Reading and Unbinding the Letter/385.mp3	Uncap the pen.
audio/02_Office Working/08_Receiving and Sending a File./61_Writing on and Stapling the Letter/386.mp3	Write "Roses are red, Violets are blue" on one line.
audio/02_Office Working/08_Receiving and Sending a File./61_Writing on and Stapling the Letter/387.mp3	Switch to another line and prepare for writing.
audio/02_Office Working/08_Receiving and Sending a File./61_Writing on and Stapling the Letter/388.mp3	Write "That's what they say, But it just isn't true." on another line.
audio/02_Office Working/08_Receiving and Sending a File./61_Writing on and Stapling the Letter/389.mp3	Cap the pen.
audio/02_Office Working/08_Receiving and Sending a File./61_Writing on and Stapling the Letter/390.mp3	Place the pen on the table.
audio/02_Office Working/08_Receiving and Sending a File./61_Writing on and Stapling the Letter/391.mp3	Realign letter papers to get ready for binding.
audio/02_Office Working/08_Receiving and Sending a File./61_Writing on and Stapling the Letter/392.mp3	Staple the letter to secure documents together with the stapler.
audio/02_Office Working/08_Receiving and Sending a File./62_Folding and Preparing the Letter/393.mp3	Fold the letter into thirds, making precise folds to ensure a compact shape.
audio/02_Office Working/08_Receiving and Sending a File./62_Folding and Preparing the Letter/394.mp3	Put the letter into the envelope.
audio/02_Office Working/08_Receiving and Sending a File./62_Folding and Preparing the Letter/395.mp3	Grab the glue stick.
audio/02_Office Working/08_Receiving and Sending a File./62_Folding and Preparing the Letter/396.mp3	Uncap the glue stick.
audio/02_Office Working/08_Receiving and Sending a File./62_Folding and Preparing the Letter/397.mp3	Glue along the edge of the envelope.
audio/02_Office Working/08_Receiving and Sending a File./62_Folding and Preparing the Letter/398.mp3	Press the envelope to seal.
audio/02_Office Working/08_Receiving and Sending a File./62_Folding and Preparing the Letter/399.mp3	Cap the glue stick.
audio/02_Office Working/08_Receiving and Sending a File./62_Folding and Preparing the Letter/400.mp3	Put down the glue stick.
audio/02_Office Working/08_Receiving and Sending a File./62_Folding and Preparing the Letter/401.mp3	Stamp the corner of the envelope.
audio/02_Office Working/08_Receiving and Sending a File./63_Handling the Clasp Envelope and Individual Pages/402.mp3	Unclasp the metal clasp of the envelope by lifting and pulling it away from the slot.
audio/02_Office Working/08_Receiving and Sending a File./63_Handling the Clasp Envelope and Individual Pages/403.mp3	Carefully pull out the file clipped at the top from the envelope.
audio/02_Office Working/08_Receiving and Sending a File./63_Handling the Clasp Envelope and Individual Pages/404.mp3	Reverse the folds of the clipped document.
audio/02_Office Working/08_Receiving and Sending a File./63_Handling the Clasp Envelope and Individual Pages/405.mp3	Read the document attentively, holding it with one hand and using the other to help navigate pages.
audio/02_Office Working/08_Receiving and Sending a File./63_Handling the Clasp Envelope and Individual Pages/406.mp3	Unclip the clip from the top of the file by sliding it off.
audio/02_Office Working/08_Receiving and Sending a File./63_Handling the Clasp Envelope and Individual Pages/407.mp3	Take out one page of the paper.
audio/02_Office Working/08_Receiving and Sending a File./63_Handling the Clasp Envelope and Individual Pages/408.mp3	Crumple the taken-out page into a ball and set it aside.
audio/02_Office Working/08_Receiving and Sending a File./63_Handling the Clasp Envelope and Individual Pages/409.mp3	Attach a paper clip to the top of the remaining aligned files to keep them together.
audio/02_Office Working/08_Receiving and Sending a File./63_Handling the Clasp Envelope and Individual Pages/410.mp3	Fold the stacked files along the predetermined lines for compact storage.
audio/02_Office Working/08_Receiving and Sending a File./63_Handling the Clasp Envelope and Individual Pages/411.mp3	Insert the folded files into a clasp envelope, aligning them within.
audio/02_Office Working/08_Receiving and Sending a File./63_Handling the Clasp Envelope and Individual Pages/412.mp3	Clasp the metal clasp of the envelope.
audio/02_Office Working/08_Receiving and Sending a File./64_Handling the Clamped File/413.mp3	Remove the clamped file from the envelope, grasping the edge opposite the clamp.
delete
