audio/0002_Office Working/0008_Receiving and Sending a File./0058_Receiving a File/0369.mp3	Grip the string of the button envelope.
audio/0002_Office Working/0008_Receiving and Sending a File./0058_Receiving a File/0370.mp3	Unroll the string to open the button envelope.
audio/0002_Office Working/0008_Receiving and Sending a File./0058_Receiving a File/0371.mp3	Remove the files from the file folder by grasping them with your fingers and lifting them out.
audio/0002_Office Working/0008_Receiving and Sending a File./0058_Receiving a File/0372.mp3	Invert the file folder over a flat surface.
audio/0002_Office Working/0008_Receiving and Sending a File./0058_Receiving a File/0373.mp3	Shake the file folder to ensure all contents have fallen out.
audio/0002_Office Working/0008_Receiving and Sending a File./0058_Receiving a File/0374.mp3	Set aside the file folder.
audio/0002_Office Working/0008_Receiving and Sending a File./0058_Receiving a File/0375.mp3	Reorder all the contents into a pile, making sure the letter envelope is on top and the clasp envelope is on bottom
audio/0002_Office Working/0008_Receiving and Sending a File./0059_Opening the Envelope/0376.mp3	Slit the top edge of the envelope with a letter opener, ensuring not to damage the contents inside.
audio/0002_Office Working/0008_Receiving and Sending a File./0059_Opening the Envelope/0377.mp3	Extract the bound letter carefully to avoid tearing any pages.
audio/0002_Office Working/0008_Receiving and Sending a File./0059_Opening the Envelope/0378.mp3	Unfold the letter by reversing the folds with gentle hand movements.
audio/0002_Office Working/0008_Receiving and Sending a File./0059_Opening the Envelope/0379.mp3	Press down on the unfolded letter with both hands to flatten and remove any creases.
audio/0002_Office Working/0008_Receiving and Sending a File./0059_Opening the Envelope/0380.mp3	Lay the unfolded letter on a flat surface for reading.
audio/0002_Office Working/0008_Receiving and Sending a File./0059_Opening the Envelope/0381.mp3	Adjust the angles to straighten the paper for easy reading.
audio/0002_Office Working/0008_Receiving and Sending a File./0060_Reading and Unbinding the Letter/0382.mp3	Read the letter by moving your eyes while your hands hold the edges to keep the paper steady.
audio/0002_Office Working/0008_Receiving and Sending a File./0060_Reading and Unbinding the Letter/0383.mp3	Remove the staple bind with the staple remover.
delete
audio/0002_Office Working/0008_Receiving and Sending a File./0060_Reading and Unbinding the Letter/0384.mp3	Grasp the pen.
audio/0002_Office Working/0008_Receiving and Sending a File./0060_Reading and Unbinding the Letter/0385.mp3	Uncap the pen.
audio/0002_Office Working/0008_Receiving and Sending a File./0061_Writing on and Stapling the Letter/0386.mp3	Write "Roses are red, Violets are blue" on one line.
audio/0002_Office Working/0008_Receiving and Sending a File./0061_Writing on and Stapling the Letter/0387.mp3	Switch to another line and prepare for writing.
audio/0002_Office Working/0008_Receiving and Sending a File./0061_Writing on and Stapling the Letter/0388.mp3	Write "That's what they say, But it just isn't true." on another line.
audio/0002_Office Working/0008_Receiving and Sending a File./0061_Writing on and Stapling the Letter/0389.mp3	Cap the pen.
audio/0002_Office Working/0008_Receiving and Sending a File./0061_Writing on and Stapling the Letter/0390.mp3	Place the pen on the table.
audio/0002_Office Working/0008_Receiving and Sending a File./0061_Writing on and Stapling the Letter/0391.mp3	Realign letter papers to get ready for binding.
audio/0002_Office Working/0008_Receiving and Sending a File./0061_Writing on and Stapling the Letter/0392.mp3	Staple the letter to secure documents together with the stapler.
